TaskNumber,AnswerNumber,RunNumber,IsWrong,NumberOfMatches
1,1,1,0,6
1,2,1,0,15
1,3,1,0,17
1,4,1,0,31
1,5,1,0,31
1,6,1,0,30
1,7,1,0,31
1,8,1,0,26
1,9,1,0,31
1,10,1,0,31
1,1,2,0,8
1,2,2,0,17
1,3,2,0,11
1,4,2,0,31
1,5,2,0,31
1,6,2,0,31
1,7,2,0,31
1,8,2,0,27
1,9,2,0,30
1,10,2,0,31
2,1,1,0,13
2,2,1,0,26
2,3,1,0,29
2,4,1,0,20
2,1,2,0,13
2,2,2,0,25
2,3,2,0,27
2,4,2,0,23
3,1,1,0,19
3,2,1,0,12
3,3,1,0,26
3,4,1,0,20
3,5,1,0,13
3,6,1,1,4
3,7,1,1,1
3,8,1,0,30
3,9,1,0,31
3,10,1,0,28
3,11,1,0,26
3,12,1,0,30
3,13,1,0,16
3,14,1,0,28
3,1,2,0,24
3,2,2,0,6
3,3,2,0,22
3,4,2,0,22
3,5,2,0,12
3,6,2,1,3
3,7,2,1,1
3,8,2,0,31
3,9,2,0,29
3,10,2,0,26
3,11,2,0,29
3,12,2,0,31
3,13,2,0,13
3,14,2,0,29
4,1,1,0,13
4,2,1,0,19
4,3,1,0,15
4,4,1,1,2
4,5,1,1,2
4,6,1,0,25
4,7,1,0,24
4,8,1,0,13
4,9,1,0,24
4,10,1,0,22
4,11,1,0,27
4,12,1,0,16
4,1,2,0,8
4,2,2,0,17
4,3,2,0,9
4,4,2,1,0
4,5,2,1,0
4,6,2,0,26
4,7,2,0,19
4,8,2,0,23
4,9,2,0,24
4,10,2,0,28
4,11,2,0,30
4,12,2,0,16
5,1,1,0,23
5,2,1,0,8
5,3,1,0,19
5,4,1,0,18
5,5,1,0,21
5,6,1,0,22
5,7,1,0,24
5,8,1,0,24
5,9,1,0,28
5,10,1,0,9
5,11,1,0,25
5,12,1,0,20
5,13,1,0,19
5,14,1,0,18
5,15,1,0,27
5,1,2,0,18
5,2,2,0,4
5,3,2,0,24
5,4,2,0,17
5,5,2,0,21
5,6,2,0,18
5,7,2,0,27
5,8,2,0,27
5,9,2,0,30
5,10,2,0,5
5,11,2,0,21
5,12,2,0,18
5,13,2,0,19
5,14,2,0,14
5,15,2,0,26
6,1,1,0,20
6,2,1,0,16
6,3,1,0,11
6,4,1,0,28
6,5,1,0,7
6,6,1,0,8
6,7,1,0,9
6,8,1,0,12
6,9,1,0,5
6,10,1,0,6
6,11,1,0,16
6,12,1,0,5
6,1,2,0,17
6,2,2,0,15
6,3,2,0,16
6,4,2,0,30
6,5,2,0,7
6,6,2,0,7
6,7,2,0,13
6,8,2,0,12
6,9,2,0,14
6,10,2,0,11
6,11,2,0,21
6,12,2,0,3
7,1,1,0,18
7,2,1,0,15
7,3,1,0,22
7,4,1,0,31
7,5,1,0,31
7,6,1,0,31
7,7,1,0,31
7,8,1,0,25
7,9,1,0,31
7,1,2,0,18
7,2,2,0,18
7,3,2,0,24
7,4,2,0,31
7,5,2,0,31
7,6,2,0,31
7,7,2,0,31
7,8,2,0,28
7,9,2,0,26
8,1,1,0,29
8,2,1,0,5
8,3,1,0,25
8,4,1,0,30
8,5,1,0,17
8,6,1,0,29
8,7,1,0,20
8,8,1,0,5
8,9,1,0,30
8,10,1,0,31
8,11,1,1,11
8,1,2,0,29
8,2,2,0,7
8,3,2,0,22
8,4,2,0,30
8,5,2,0,20
8,6,2,0,31
8,7,2,0,16
8,8,2,0,5
8,9,2,0,31
8,10,2,0,31
8,11,2,1,15
9,1,1,0,20
9,2,1,0,10
9,3,1,0,2
9,4,1,0,18
9,5,1,0,28
9,6,1,0,28
9,7,1,0,11
9,8,1,0,30
9,9,1,0,27
9,10,1,0,25
9,11,1,0,30
9,12,1,0,30
9,1,2,0,20
9,2,2,0,7
9,3,2,0,0
9,4,2,0,23
9,5,2,0,28
9,6,2,0,30
9,7,2,0,16
9,8,2,0,29
9,9,2,0,31
9,10,2,0,24
9,11,2,0,31
9,12,2,0,30
10,1,1,0,11
10,2,1,0,26
10,3,1,1,4
10,4,1,0,25
10,5,1,0,14
10,6,1,1,9
10,7,1,0,26
10,8,1,0,19
10,9,1,0,1
10,10,1,0,12
10,1,2,0,11
10,2,2,0,27
10,3,2,1,6
10,4,2,0,27
10,5,2,0,15
10,6,2,1,8
10,7,2,0,18
10,8,2,0,20
10,9,2,0,1
10,10,2,0,14
11,1,1,0,21
11,2,1,0,15
11,3,1,0,11
11,4,1,0,18
11,5,1,0,24
11,6,1,0,28
11,7,1,0,31
11,8,1,0,21
11,9,1,0,21
11,10,1,0,26
11,11,1,0,25
11,12,1,0,28
11,13,1,0,27
11,14,1,0,24
11,15,1,0,25
11,16,1,0,27
11,17,1,0,30
11,18,1,0,31
11,1,2,0,22
11,2,2,0,9
11,3,2,0,8
11,4,2,0,20
11,5,2,0,25
11,6,2,0,31
11,7,2,0,31
11,8,2,0,19
11,9,2,0,23
11,10,2,0,27
11,11,2,0,25
11,12,2,0,29
11,13,2,0,29
11,14,2,0,24
11,15,2,0,27
11,16,2,0,27
