taskID,answerNumber,trueOrFalse,answerSize
1,1,1,431
1,2,1,445
1,3,1,453
1,4,0,314
1,5,0,331
1,6,0,429
1,7,0,415
1,8,0,347
1,9,0,333
1,10,0,327
2,1,1,315
2,2,0,331
2,3,0,334
2,4,0,334
3,1,1,27
3,2,1,28
3,3,1,31
3,4,1,35
3,5,1,34
3,6,1,27
3,7,0,37
3,8,0,30
3,9,0,34
3,10,0,37
3,11,0,32
3,12,0,32
3,13,0,37
3,14,0,39
4,1,1,28
4,2,1,29
4,3,1,28
4,4,1,32
4,5,1,32
4,6,0,26
4,7,0,26
4,8,0,29
4,9,0,29
4,10,0,28
4,11,0,26
4,12,0,26
5,1,1,24
5,2,1,26
5,3,1,24
5,4,1,66
5,5,1,25
5,6,1,25
5,7,0,72
5,8,0,72
5,9,0,31
5,10,0,20
5,11,0,69
5,12,0,69
5,13,0,69
5,14,0,64
5,15,0,95
6,1,1,71
6,2,1,43
6,3,1,65
6,4,1,210
6,5,0,199
6,6,0,97
6,7,0,88
6,8,0,89
6,9,0,177
6,10,0,120
6,11,0,128
6,12,0,123
7,1,1,73
7,2,1,114
7,3,1,166
7,4,0,83
7,5,0,109
7,6,0,180
7,7,0,76
7,8,0,174
7,9,0,158
8,1,1,56
8,2,1,56
8,3,1,68
8,4,1,70
8,5,1,128
8,6,0,58
8,7,0,47
8,8,0,72
8,9,0,63
8,10,0,98
8,11,0,55
9,1,1,67
9,2,1,67
9,3,1,70
9,4,1,67
9,5,1,67
9,6,1,67
9,7,1,67
9,8,0,70
9,9,0,70
9,10,0,67
9,11,0,70
9,12,0,70
10,1,1,85
10,2,1,79
10,3,1,70
10,4,0,56
10,5,0,88
10,6,0,63
10,7,0,66
10,8,0,72
10,9,0,47
10,10,0,72
11,1,1,6
11,2,1,8
11,3,1,10
11,4,1,12
11,5,1,10
11,6,1,8
11,7,1,4
11,8,1,7
11,9,0,9
11,10,0,13
11,11,0,11
11,12,0,10
11,13,0,13
11,14,0,12
11,15,0,15
11,16,0,11
11,17,0,14
11,18,0,9
12,1,1,117
12,2,1,192
12,3,1,164
12,4,1,173
12,5,1,143
12,6,0,113
12,7,0,113
12,8,0,153
12,9,0,197
12,10,0,139
12,11,0,134
12,12,0,139
13,1,1,25
13,2,1,22
13,3,1,27
13,4,1,24
13,5,0,25
13,6,0,22
13,7,0,27
13,8,0,24
13,9,0,25
13,10,0,22
13,11,0,27
13,12,0,24
13,13,0,25
13,14,0,22
13,15,0,27
13,16,0,24
14,1,1,1
14,2,1,2
14,3,0,1
14,4,0,1
14,5,0,1
14,6,0,2
14,7,0,2
14,8,0,2
14,9,0,2
14,10,0,2
14,11,0,2
14,12,0,2
15,1,1,67
15,2,1,78
15,3,1,99
15,4,0,68
15,5,0,74
15,6,0,72
15,7,0,68
15,8,0,91
16,1,1,71
16,2,1,72
16,3,1,99
16,4,1,71
16,5,0,104
16,6,0,69
16,7,0,148
16,8,0,94
17,1,1,58
17,2,1,70
17,3,1,105
17,4,0,60
17,5,0,92
17,6,0,96
17,7,0,84
17,8,0,92
18,1,1,56
18,2,0,59
18,3,1,60
18,4,1,62
18,5,0,92
18,6,0,56
18,7,0,66
18,8,0,96
19,1,1,81
19,2,1,185
19,3,1,209
19,4,0,146
19,5,0,97
19,6,0,45
19,7,0,129
19,8,0,166
20,1,1,140
20,2,1,48
20,3,1,54
20,4,1,64
20,5,0,61
20,6,0,60
20,7,0,61
20,8,0,60
20,9,0,56
21,1,1,25
21,2,1,10
21,3,0,25
21,4,0,25
21,5,0,25
21,6,0,10
22,1,1,28
22,2,1,35
22,3,0,29
22,4,0,33
22,5,0,30
22,6,0,34
23,1,1,77
23,2,1,75
23,3,0,55
23,4,0,55
23,5,0,60
23,6,0,60
23,7,0,79
23,8,0,82
24,1,1,68
24,2,1,81
24,3,1,87
24,4,0,64
24,5,0,64
24,6,0,63
24,7,0,63
25,1,1,34
25,2,1,36
25,3,1,38
25,4,1,36
25,5,0,35
25,6,0,38
25,7,0,37
25,8,0,38
25,9,0,40
26,1,1,36
26,2,1,34
26,3,1,36
26,4,0,39
26,5,0,38
26,6,0,42
26,7,0,37
26,8,0,39
27,1,1,43
27,2,1,33
27,3,1,45
27,4,1,58
27,5,1,44
27,6,0,39
27,7,0,93
27,8,0,46
27,9,0,56
27,10,0,41
27,11,0,47
27,12,0,42
28,1,1,34
28,2,1,43
28,3,1,44
28,4,1,43
28,5,1,47
28,6,0,42
28,7,0,41
28,8,0,41
28,9,0,50
28,10,0,59
29,1,1,53
29,2,1,71
29,3,1,55
29,4,1,89
29,5,0,80
29,6,0,81
29,7,0,60
29,8,0,50
29,9,0,61
29,10,0,47
30,1,1,67
30,2,1,47
30,3,1,90
30,4,0,89
30,5,0,87
30,6,0,80
30,7,0,106
30,8,0,138
31,1,1,66
31,2,1,81
31,3,1,64
31,4,1,60
31,5,0,71
31,6,0,112
31,7,0,95
31,8,0,32
32,1,1,48
32,2,1,56
32,3,1,88
32,4,0,82
32,5,0,48
32,6,0,59
32,7,0,60
32,8,0,75
33,1,1,6
33,2,1,9
33,3,1,10
33,4,1,12
33,5,1,23
33,6,1,11
33,7,0,11
33,8,0,11
33,9,0,15
33,10,0,18
33,11,0,17
33,12,0,7
33,13,0,9
34,1,1,35
34,2,1,22
34,3,1,26
34,4,0,69
34,5,0,45
34,6,0,79
34,7,0,47
34,8,0,120
35,1,1,197
35,2,1,197
35,3,0,124
35,4,0,125
35,5,0,207
35,6,0,208
36,1,1,33
36,2,1,26
36,3,1,29
36,4,1,28
36,5,1,26
36,6,0,24
36,7,0,32
36,8,0,36
36,9,0,36
36,10,0,28
37,1,1,88
37,2,1,148
37,3,1,222
37,4,0,80
37,5,0,146
37,6,0,194
38,1,1,112
38,2,1,102
38,3,0,119
38,4,0,94
38,5,0,105
38,6,0,94
39,1,1,17
39,2,1,14
39,3,1,15
39,4,1,19
39,5,0,11
39,6,0,13
39,7,0,42
40,1,1,161
40,2,1,64
40,3,1,179
40,4,0,150
40,5,0,237
40,6,0,258
40,7,0,248
41,1,1,87
41,2,1,92
41,3,0,103
41,4,0,98
41,5,0,94
41,6,0,89
42,1,1,54
42,2,0,49
42,3,0,30
42,4,0,39
42,5,0,35
