TaskNumber,AnswerNumber,RunNumber,IsWrong,NumberOfMatches
1,1,1,0,29
1,2,1,0,23
1,3,1,0,30
1,4,1,0,26
1,5,1,0,10
1,6,1,0,28
1,7,1,0,30
1,1,2,0,23
1,2,2,0,24
1,3,2,0,30
1,4,2,0,29
1,5,2,0,6
1,6,2,0,28
1,7,2,0,26
2,1,1,0,21
2,2,1,0,6
2,3,1,0,31
2,4,1,0,31
2,5,1,0,25
2,6,1,0,14
2,7,1,0,25
2,1,2,0,21
2,2,2,0,8
2,3,2,0,31
2,4,2,0,30
2,5,2,0,24
2,6,2,0,18
2,7,2,0,26
3,1,1,0,22
3,2,1,0,27
3,3,1,0,6
3,4,1,0,31
3,5,1,0,31
3,6,1,0,22
3,7,1,0,31
3,1,2,0,27
3,2,2,0,27
3,3,2,0,5
3,4,2,0,31
3,5,2,0,31
3,6,2,0,22
3,7,2,0,31
4,1,1,0,22
4,2,1,0,6
4,3,1,0,4
4,4,1,0,18
4,5,1,0,28
4,6,1,0,28
4,7,1,0,31
4,8,1,0,31
4,1,2,0,21
4,2,2,0,5
4,3,2,0,4
4,4,2,0,20
4,5,2,0,29
4,6,2,0,30
4,7,2,0,31
4,8,2,0,31
5,1,1,1,1
5,2,1,0,28
5,3,1,1,3
5,4,1,0,31
5,1,2,1,0
5,2,2,0,28
5,3,2,1,4
5,4,2,0,29
6,1,1,0,12
6,2,1,0,0
6,3,1,0,12
6,4,1,0,31
6,5,1,0,31
6,1,2,0,5
6,2,2,0,0
6,3,2,0,5
6,4,2,0,31
6,5,2,0,31
7,1,1,0,24
7,2,1,0,31
7,3,1,0,0
7,4,1,0,31
7,5,1,0,31
7,6,1,0,31
7,7,1,0,31
7,8,1,0,30
7,1,2,0,23
7,2,2,0,28
7,3,2,0,0
7,4,2,0,30
7,5,2,0,31
7,6,2,0,31
7,7,2,0,29
7,8,2,0,31
8,1,1,0,31
8,2,1,0,23
8,3,1,0,28
8,4,1,0,28
8,5,1,0,28
8,6,1,0,31
8,7,1,0,31
8,1,2,0,30
8,2,2,0,16
8,3,2,0,23
8,4,2,0,28
8,5,2,0,30
8,6,2,0,31
8,7,2,0,31
9,1,1,0,20
9,2,1,0,13
9,3,1,0,0
9,4,1,1,0
9,5,1,0,31
9,6,1,0,31
9,7,1,0,30
9,8,1,0,31
9,9,1,0,31
9,1,2,0,24
9,2,2,0,9
9,3,2,0,0
9,4,2,1,0
9,5,2,0,31
9,6,2,0,31
9,7,2,0,30
9,8,2,0,31
9,9,2,0,31
10,1,1,0,17
10,2,1,0,16
10,3,1,0,6
10,4,1,0,25
10,5,1,0,29
10,6,1,0,31
10,7,1,0,31
10,8,1,0,30
10,1,2,0,23
10,2,2,0,16
10,3,2,0,6
10,4,2,0,24
10,5,2,0,29
10,6,2,0,31
10,7,2,0,31
10,8,2,0,31
11,1,1,0,31
11,2,1,0,28
11,3,1,1,4
11,4,1,1,9
11,5,1,0,26
11,6,1,0,27
11,7,1,0,30
11,1,2,0,27
11,2,2,0,28
11,3,2,1,1
11,4,2,1,11
11,5,2,0,29
11,6,2,0,27
11,7,2,0,31
12,1,1,0,25
12,2,1,0,0
12,3,1,0,0
12,4,1,0,13
12,5,1,0,3
12,6,1,0,9
12,7,1,0,24
12,8,1,0,13
12,1,2,0,24
12,2,2,0,0
12,3,2,0,1
12,4,2,0,17
12,5,2,0,3
12,6,2,0,13
12,7,2,0,27
12,8,2,0,13
13,1,1,0,2
13,2,1,0,7
13,3,1,0,15
13,4,1,0,0
13,5,1,0,5
13,6,1,0,30
13,7,1,0,22
13,8,1,0,7
13,9,1,0,31
13,10,1,0,18
13,11,1,0,22
13,1,2,0,2
13,2,2,0,12
13,3,2,0,12
13,4,2,0,1
13,5,2,0,6
13,6,2,0,31
13,7,2,0,28
13,8,2,0,3
13,9,2,0,30
13,10,2,0,17
13,11,2,0,19
14,1,1,0,31
14,2,1,0,24
14,3,1,0,12
14,4,1,0,6
14,5,1,0,2
14,6,1,0,31
14,7,1,0,24
14,8,1,0,27
14,9,1,0,31
14,1,2,0,30
14,2,2,0,29
14,3,2,0,13
14,4,2,0,6
14,5,2,0,2
14,6,2,0,31
14,7,2,0,26
14,8,2,0,30
14,9,2,0,31
15,1,1,0,24
15,2,1,0,30
15,3,1,0,30
15,4,1,0,25
15,5,1,0,19
15,6,1,0,25
15,7,1,0,27
15,8,1,0,25
15,1,2,0,27
15,2,2,0,29
15,3,2,0,30
15,4,2,0,27
15,5,2,0,14
15,6,2,0,25
15,7,2,0,25
15,8,2,0,26
16,1,1,0,30
16,2,1,0,17
16,3,1,0,17
16,4,1,0,10
16,5,1,0,30
16,6,1,0,31
16,7,1,0,30
16,8,1,1,16
16,1,2,0,26
16,2,2,0,15
16,3,2,0,13
16,4,2,0,9
16,5,2,0,30
16,6,2,0,31
16,7,2,0,30
16,8,2,1,22
17,1,1,0,27
17,2,1,0,15
