taskID,answerNumber,trueOrFalse,answerSize
1,1,1,88
1,2,1,92
1,3,1,106
1,4,0,53
1,5,0,93
1,6,0,54
1,7,0,80
2,1,1,110
2,2,1,75
2,3,0,95
2,4,0,84
2,5,0,87
2,6,0,123
2,7,0,62
3,1,1,109
3,2,1,138
3,3,1,168
3,4,0,157
3,5,0,178
3,6,0,77
3,7,0,81
4,1,1,13
4,2,1,29
4,3,1,90
4,4,0,13
4,5,0,21
4,6,0,17
4,7,0,17
4,8,0,30
5,1,1,118
5,2,0,48
5,3,0,67
5,4,0,92
6,1,1,137
6,2,1,138
6,3,0,139
6,4,0,140
6,5,0,118
7,1,1,132
7,2,1,63
7,3,1,91
7,4,0,64
7,5,0,147
7,6,0,86
7,7,0,136
7,8,0,78
8,1,1,27
8,2,1,41
8,3,0,78
8,4,0,56
8,5,0,62
8,6,0,98
8,7,0,40
9,1,1,26
9,2,1,38
9,3,1,43
9,4,1,36
9,5,0,34
9,6,0,36
9,7,0,28
9,8,0,30
9,9,0,34
10,1,1,33
10,2,1,33
10,3,1,28
10,4,1,31
10,5,0,19
10,6,0,27
10,7,0,31
10,8,0,32
11,1,1,26
11,2,1,79
11,3,1,79
11,4,0,102
11,5,0,46
11,6,0,96
11,7,0,44
12,1,1,60
12,2,1,166
12,3,1,81
12,4,1,111
12,5,0,95
12,6,0,125
12,7,0,32
12,8,0,65
13,1,1,70
13,2,1,60
13,3,1,45
13,4,1,94
13,5,1,46
13,6,1,63
13,7,1,129
13,8,0,87
13,9,0,48
13,10,0,149
13,11,0,36
14,1,1,71
14,2,1,69
14,3,1,128
14,4,1,115
14,5,1,77
14,6,0,139
14,7,0,105
14,8,0,140
14,9,0,111
15,1,1,131
15,2,1,127
15,3,1,121
15,4,0,96
15,5,0,80
15,6,0,87
15,7,0,78
15,8,0,90
16,1,1,115
16,2,1,90
16,3,1,91
16,4,0,86
16,5,0,104
16,6,0,67
16,7,0,67
16,8,0,50
17,1,1,26
17,2,1,28
17,3,1,14
17,4,1,19
17,5,1,30
17,6,0,14
17,7,0,30
17,8,0,18
17,9,0,30
18,1,1,44
18,2,1,48
18,3,1,44
18,4,0,114
18,5,0,61
18,6,0,89
18,7,0,87
18,8,0,133
19,1,1,68
19,2,1,93
19,3,1,77
19,4,1,76
19,5,0,70
19,6,0,66
19,7,0,50
19,8,0,68
20,1,1,93
20,2,1,109
20,3,0,67
20,4,0,62
20,5,0,70
20,6,0,71
21,1,1,39
21,2,1,46
21,3,0,72
21,4,0,53
21,5,0,65
21,6,0,61
22,1,1,46
22,2,1,43
22,3,0,39
22,4,0,42
22,5,0,57
22,6,0,60
22,7,0,38
23,1,1,141
23,2,1,193
23,3,0,84
23,4,0,115
23,5,0,97
23,6,0,130
24,1,1,104
24,2,1,82
24,3,1,69
24,4,0,115
24,5,0,69
24,6,0,60
24,7,0,56
25,1,1,38
25,2,1,38
25,3,1,42
25,4,0,38
25,5,0,41
25,6,0,41
26,1,1,126
26,2,1,121
26,3,1,71
26,4,1,83
26,5,0,88
26,6,0,117
26,7,0,69
26,8,0,58
27,1,1,49
27,2,1,71
27,3,1,41
27,4,0,61
27,5,0,78
27,6,0,54
27,7,0,79
27,8,0,76
27,9,0,49
28,1,1,114
28,2,1,96
28,3,1,85
28,4,0,110
28,5,0,54
28,6,0,91
28,7,0,72
29,1,1,34
29,2,1,39
29,3,1,41
29,4,0,53
29,5,0,82
29,6,0,73
29,7,0,61
30,1,1,47
30,2,1,67
30,3,0,21
30,4,0,23
30,5,0,32
30,6,0,33
30,7,0,68
31,1,1,74
31,2,1,53
31,3,1,31
31,4,0,49
31,5,0,55
31,6,0,64
31,7,0,30
32,1,1,65
32,2,1,50
32,3,1,70
32,4,1,48
32,5,0,39
32,6,0,51
32,7,0,68
32,8,0,38
33,1,1,39
33,2,1,35
33,3,1,31
33,4,1,42
33,5,0,42
33,6,0,67
33,7,0,41
33,8,0,39
34,1,1,3
34,2,1,5
34,3,0,1
34,4,0,3
34,5,0,3
34,6,0,5
34,7,0,5
35,1,1,21
35,2,1,31
35,3,0,33
35,4,0,23
35,5,0,27
35,6,0,27
36,1,1,5
36,2,1,8
36,3,1,12
36,4,0,12
36,5,0,12
36,6,0,11
36,7,0,6
37,1,1,162
37,2,1,125
37,3,1,84
37,4,1,175
37,5,1,65
37,6,0,95
37,7,0,64
37,8,0,64
37,9,0,103
38,1,1,101
38,2,1,105
38,3,1,121
38,4,1,76
38,5,0,94
38,6,0,89
38,7,0,89
38,8,0,72
38,9,0,83
39,1,1,31
39,2,1,28
39,3,1,34
39,4,0,52
39,5,0,29
39,6,0,25
39,7,0,26
39,8,0,35
39,9,0,52
40,1,1,88
40,2,1,75
40,3,0,52
40,4,0,73
40,5,0,93
40,6,0,76
40,7,0,73
40,8,0,79
40,9,0,74
41,1,1,14
41,2,1,23
41,3,1,14
41,4,0,19
41,5,0,30
41,6,0,31
41,7,0,39
42,1,1,101
42,2,1,66
42,3,1,96
42,4,0,57
42,5,0,90
42,6,0,59
42,7,0,77
43,1,1,59
43,2,1,151
43,3,0,190
43,4,0,107
43,5,0,78
43,6,0,85
44,1,1,134
44,2,1,119
44,3,1,75
44,4,0,126
44,5,0,52
44,6,0,52
44,7,0,78
44,8,0,40
45,1,1,47
45,2,1,79
45,3,1,79
45,4,0,199
45,5,0,159
45,6,0,187
45,7,0,83
